MD,CLASS,CNL,CPOR,DENS,GR,KAH,LL9D,NEU,RT,SONI,CAT,LOGKAH
11493,1,19.34,15.9,2.477,60.121,0.45,,0.1934,,79.03,5,-0.346787486
11494.5,2,19.44,13.4,2.461,62.887,0.14,,0.1944,,76.741,5,-0.853871964
11496,1,20.92,13.6,2.481,60.53,0.18,,0.2092,,78.786,5,-0.744727495
11497,1,20.34,15.8,2.47,65.115,0.52,,0.2034,,80.401,4,-0.283996656
11498,1,18.88,13.3,2.471,68.93,0.14,,0.1888,,80.671,4,-0.853871964
11499.5,1,19.92,10.4,2.44,70.987,0.05,,0.1992,,81.186,4,-1.301029996
11500.5,1,20.52,16,2.487,69.587,0.43,,0.2052,,79.842,4,-0.366531544
11501.5,1,20.56,14.5,2.523,71.148,3.5,,0.2056,,79.599,4,0.544068044
11504.5,1,20.4,12.2,2.441,74.172,0.05,,0.204,,81.169,4,-1.301029996
11506,2,19.96,10.3,2.425,69.808,0.07,,0.1996,,80.669,4,-1.15490196
11507.5,1,19.18,15,2.405,61.921,0.35,,0.1918,,81.244,4,-0.455931956
11508.5,1,19.36,15.5,2.405,60.443,0.48,,0.1936,,83.384,4,-0.318758763
11509.5,1,19.84,13.1,2.403,60.7,0.07,,0.1984,,82.338,4,-1.15490196
11511.5,1,18.68,15.5,2.431,57.767,0.58,,0.1868,,83.01,4,-0.236572006
11514.5,1,18.92,16,2.45,64.495,0.37,,0.1892,,84.293,4,-0.431798276
11515.5,1,19.18,17.5,2.468,62.649,1.1,,0.1918,,84.249,4,0.041392685
11517.5,1,21.16,18.1,2.493,67.594,1,,0.2116,,81.137,4,0
11519,1,20.28,14.2,2.49,69.949,0.23,,0.2028,,82.706,4,-0.638272164
