MD,FACIES,CNL,CPOR,DENS,GR,KAH,LL9D,NEU,RT,SONI,CAT,LOGKAH
10528.5,2,20.099,24.5,2.177,95.066,740,69.733,0.20099,86.94083,86.113,2,2.86923172
10530,2,21.517,25,2.18,89.869,1500,41.978,0.21517,54.19696,77.846,1,3.176091259
10530.5,2,20.628,19.8,2.209,87.979,220,48.535,0.20628,61.87096,72.466,2,2.342422681
10531.5,1,18.569,18.9,2.279,81.433,210,59.256,0.18569,79.15675,69.187,1,2.322219295
10532.5,1,16.414,16.2,2.345,78.301,130,54.126,0.16414,70.73278,74.701,2,2.113943352
10533.5,1,15.919,18.7,2.366,78.529,110,41.996,0.15919,65.75124,74.309,1,2.041392685
10534.5,1,15.847,20,2.357,78.529,240,42.77,0.15847,57.55017,68.012,2,2.380211242
10535.5,1,15.423,12.1,2.357,75.694,9.8,69.793,0.15423,102.6972,68.013,1,0.991226076
10536.5,1,13.815,13.4,2.398,76.892,72,89.973,0.13815,158.965,72.347,2,1.857332496
10537.5,1,14.126,15.7,2.403,78.529,94,57.534,0.14126,79.81225,73.061,1,1.973127854
10538.5,1,14.996,17.8,2.375,78.52,61,55.156,0.14996,77.16463,71.957,2,1.785329835
10539.5,1,15.107,14.3,2.363,79.71,70,57.202,0.15107,80.85172,70.778,1,1.84509804
10540,1,15.138,24.4,2.38,80.379,510,60.402,0.15138,92.47021,69.991,2,2.707570176
10541,1,15.033,14.9,2.417,80.891,63,46.866,0.15033,81.80386,69.994,1,1.799340549
10542,1,14.996,15.1,2.387,80.891,22,40.541,0.14996,54.8188,71.176,2,1.342422681
10542.5,1,14.996,12.7,2.386,80.705,29,42.041,0.14996,56.99836,71.177,1,1.462397998
10543.5,1,15.138,15,2.388,80.745,20,46.879,0.15138,67.04438,69.605,2,1.301029996
10544.5,1,14.572,17.6,2.402,81.6,32,56.206,0.14572,140.9108,70,1,1.505149978
10545.5,1,14.193,15,2.433,78.529,120,58.288,0.14193,84.4192,72.593,2,2.079181246
10546,1,14.76,13.6,2.42,78.285,34,56.216,0.1476,76.2612,73.941,1,1.531478917
10547,1,15.611,8.2,2.375,78.919,1.3,48.632,0.15611,69.04286,73.548,2,0.113943352
10549.5,1,16.178,20.5,2.339,80.891,420,33.241,0.16178,45.09594,75.129,1,2.62324929
10550.5,1,16.414,21.2,2.324,81.076,420,29.282,0.16414,38.83686,70.8,2,2.62324929
10551.5,1,17.396,15.4,2.311,80.745,97,43.643,0.17396,57.58586,71.983,1,1.986771734
10552.5,1,17.094,17.2,2.353,77.478,27,67.447,0.17094,87.00333,74.544,2,1.431363764
10553.5,1,15.847,14.1,2.368,76.15,37,46.093,0.15847,69.73106,75.531,1,1.568201724
10554,1,15.233,18.9,2.357,76.6,240,37.76,0.15233,50.12712,75.532,2,2.380211242
10555,1,16.045,21.1,2.312,77.154,530,25.65,0.16045,35.97718,76.714,1,2.72427587
10556,1,16.792,12.9,2.318,78.592,7.4,18.962,0.16792,25.36371,73.961,2,0.86923172
10557,1,16.67,16.4,2.304,81.64,51,21.402,0.1667,29.57515,73.174,1,1.707570176
10558,1,16.555,17.9,2.327,83.254,39,28.265,0.16555,41.17846,75.539,2,1.591064607
10559,1,16.886,16.1,2.365,81.632,41,24.898,0.16886,34.43382,75.935,1,1.612783857
10559.5,1,17.136,18,2.37,80.891,75,23.582,0.17136,31.74679,75.582,2,1.875061263
